CSR,User,Supervisor,Machine
pmpcfg9,Undetermined,Undetermined,Undetermined
pmpcfg10,Undetermined,Undetermined,Undetermined
pmpcfg11,Undetermined,Undetermined,Undetermined
pmpcfg12,Undetermined,Undetermined,Undetermined
pmpcfg13,Undetermined,Undetermined,Undetermined
pmpcfg14,Undetermined,Undetermined,Undetermined
pmpcfg15,Undetermined,Undetermined,Undetermined
pmpaddr0,Not allowed,Not allowed,Not allowed
pmpaddr1,Not allowed,Not allowed,Not allowed
pmpaddr2,Not allowed,Not allowed,Not allowed
pmpaddr3,Not allowed,Not allowed,Not allowed
pmpaddr4,Not allowed,Not allowed,Not allowed
pmpaddr5,Not allowed,Not allowed,Not allowed
pmpaddr6,Not allowed,Not allowed,Not allowed
pmpaddr7,Not allowed,Not allowed,Not allowed
pmpaddr8,Not allowed,Not allowed,Not allowed
pmpaddr9,Not allowed,Not allowed,Not allowed
pmpaddr10,Not allowed,Not allowed,Not allowed
pmpaddr11,Not allowed,Not allowed,Not allowed
pmpaddr12,Not allowed,Not allowed,Not allowed
pmpaddr13,Not allowed,Not allowed,Not allowed
pmpaddr14,Not allowed,Not allowed,Not allowed
pmpaddr15,Not allowed,Not allowed,Not allowed
pmpaddr16,Undetermined,Undetermined,Undetermined
pmpaddr17,Undetermined,Undetermined,Undetermined
pmpaddr18,Undetermined,Undetermined,Undetermined
pmpaddr19,Undetermined,Undetermined,Undetermined
pmpaddr20,Undetermined,Undetermined,Undetermined
pmpaddr21,Undetermined,Undetermined,Undetermined
pmpaddr22,Undetermined,Undetermined,Undetermined
pmpaddr23,Undetermined,Undetermined,Undetermined
pmpaddr24,Undetermined,Undetermined,Undetermined
pmpaddr25,Undetermined,Undetermined,Undetermined
pmpaddr26,Undetermined,Undetermined,Undetermined
pmpaddr27,Undetermined,Undetermined,Undetermined
pmpaddr28,Undetermined,Undetermined,Undetermined
pmpaddr29,Undetermined,Undetermined,Undetermined
pmpaddr30,Undetermined,Undetermined,Undetermined
pmpaddr31,Undetermined,Undetermined,Undetermined
pmpaddr32,Undetermined,Undetermined,Undetermined
pmpaddr33,Undetermined,Undetermined,Undetermined
pmpaddr34,Undetermined,Undetermined,Undetermined
pmpaddr35,Undetermined,Undetermined,Undetermined
pmpaddr36,Undetermined,Undetermined,Undetermined
pmpaddr37,Undetermined,Undetermined,Undetermined
pmpaddr38,Undetermined,Undetermined,Undetermined
pmpaddr39,Undetermined,Undetermined,Undetermined
pmpaddr40,Undetermined,Undetermined,Undetermined
pmpaddr41,Undetermined,Undetermined,Undetermined
pmpaddr42,Undetermined,Undetermined,Undetermined
pmpaddr43,Undetermined,Undetermined,Undetermined
pmpaddr44,Undetermined,Undetermined,Undetermined
pmpaddr45,Undetermined,Undetermined,Undetermined
pmpaddr46,Undetermined,Undetermined,Undetermined
pmpaddr47,Undetermined,Undetermined,Undetermined
pmpaddr48,Undetermined,Undetermined,Undetermined
pmpaddr49,Undetermined,Undetermined,Undetermined
pmpaddr50,Undetermined,Undetermined,Undetermined
pmpaddr51,Undetermined,Undetermined,Undetermined
pmpaddr52,Undetermined,Undetermined,Undetermined
pmpaddr53,Undetermined,Undetermined,Undetermined
pmpaddr54,Undetermined,Undetermined,Undetermined
pmpaddr55,Undetermined,Undetermined,Undetermined
pmpaddr56,Undetermined,Undetermined,Undetermined
pmpaddr57,Undetermined,Undetermined,Undetermined
pmpaddr58,Undetermined,Undetermined,Undetermined
pmpaddr59,Undetermined,Undetermined,Undetermined
pmpaddr60,Undetermined,Undetermined,Undetermined
pmpaddr61,Undetermined,Undetermined,Undetermined
pmpaddr62,Undetermined,Undetermined,Undetermined
pmpaddr63,Undetermined,Undetermined,Undetermined
cycle,Not allowed,Not allowed,Not allowed
time,Not allowed,Not allowed,Not allowed
instret,Not allowed,Not allowed,Not allowed
cycleh,Not allowed,Not allowed,Not allowed
timeh,Not allowed,Not allowed,Not allowed
instreth,Not allowed,Not allowed,Not allowed
mcycle,Not allowed,Not allowed,Allowed
minstret,Not allowed,Not allowed,Allowed
mcycleh,Not allowed,Not allowed,Not allowed
minstreth,Not allowed,Not allowed,Not allowed
stimecmp,Undetermined,Undetermined,Undetermined
stimecmph,Undetermined,Undetermined,Undetermined
stvec,Not allowed,Allowed,Allowed
sepc,Not allowed,Allowed,Allowed
mtvec,Not allowed,Not allowed,Allowed
mepc,Not allowed,Not allowed,Allowed
misa,Not allowed,Not allowed,Allowed
mstatus,Not allowed,Not allowed,Allowed
menvcfg,Undetermined,Undetermined,Undetermined
menvcfgh,Undetermined,Undetermined,Undetermined
senvcfg,Undetermined,Undetermined,Undetermined
mie,Not allowed,Not allowed,Allowed
mip,Not allowed,Not allowed,Allowed
medeleg,Not allowed,Not allowed,Allowed
medelegh,Undetermined,Undetermined,Undetermined
mideleg,Not allowed,Not allowed,Allowed
mcause,Not allowed,Not allowed,Allowed
mtval,Not allowed,Not allowed,Allowed
mscratch,Not allowed,Not allowed,Allowed
scounteren,Not allowed,Undetermined,Undetermined
mcounteren,Not allowed,Not allowed,Undetermined
mcountinhibit,Not allowed,Not allowed,Undetermined
mvendorid,Not allowed,Not allowed,Not allowed
marchid,Not allowed,Not allowed,Not allowed
mimpid,Not allowed,Not allowed,Not allowed
mhartid,Not allowed,Not allowed,Not allowed
mconfigptr,Undetermined,Undetermined,Undetermined
sstatus,Not allowed,Allowed,Allowed
sip,Not allowed,Allowed,Allowed
sie,Not allowed,Allowed,Allowed
sscratch,Not allowed,Allowed,Allowed
scause,Not allowed,Allowed,Allowed
stval,Not allowed,Allowed,Allowed
tselect,Not allowed,Not allowed,Allowed
tdata1,Not allowed,Not allowed,Not allowed
tdata2,Not allowed,Not allowed,Not allowed
tdata3,Not allowed,Not allowed,Not allowed
seed,Not allowed,Not allowed,Allowed
vstart,Undetermined,Undetermined,Undetermined
vxsat,Conditional,Conditional,Conditional
vxrm,Conditional,Conditional,Conditional
vcsr,Conditional,Conditional,Conditional
vl,Not allowed,Not allowed,Not allowed
vtype,Not allowed,Not allowed,Not allowed
vlenb,Not allowed,Not allowed,Not allowed
satp,Not allowed,Conditional,Allowed
